day,date,year,month,day_of_month,day_of_week,is_weekend,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,powerball,sum_main_balls,mean_main_balls,min_main_ball,max_main_ball,range_main_balls,odd_count,even_count,is_powerball_even
400,2013-11-02,2013,11,2,5,1,1,7,13,25,30,46,24,122,20.33,1,46,45,4,2,1
401,2013-11-06,2013,11,6,2,0,17,20,32,36,37,41,42,183,30.5,17,41,24,3,3,1
402,2013-11-09,2013,11,9,5,1,8,9,11,12,23,38,29,101,16.83,8,38,30,3,3,0
403,2013-11-13,2013,11,13,2,0,1,18,33,36,38,41,3,167,27.83,1,41,40,3,3,0
404,2013-11-16,2013,11,16,5,1,16,18,37,42,43,45,29,201,33.5,16,45,29,3,3,0
405,2013-11-20,2013,11,20,2,0,4,8,9,12,43,49,26,125,20.83,4,49,45,3,3,1
406,2013-11-23,2013,11,23,5,1,4,19,29,34,40,45,18,171,28.5,4,45,41,3,3,1
407,2013-11-27,2013,11,27,2,0,1,13,19,23,27,42,36,125,20.83,1,42,41,5,1,1
408,2013-11-30,2013,11,30,5,1,3,4,9,21,27,31,49,95,15.83,3,31,28,5,1,0
409,2013-12-04,2013,12,4,2,0,3,6,7,11,15,48,30,90,15.0,3,48,45,4,2,1
410,2013-12-07,2013,12,7,5,1,15,26,27,28,30,39,5,165,27.5,15,39,24,3,3,0
411,2013-12-11,2013,12,11,2,0,5,24,29,38,40,49,19,185,30.83,5,49,44,3,3,0
412,2013-12-14,2013,12,14,5,1,14,18,21,27,35,48,44,163,27.17,14,48,34,3,3,1
413,2013-12-18,2013,12,18,2,0,4,6,9,16,20,31,32,86,14.33,4,31,27,2,4,1
414,2013-12-21,2013,12,21,5,1,28,33,34,43,46,48,23,232,38.67,28,48,20,2,4,0
415,2013-12-28,2013,12,28,5,1,1,26,27,35,45,48,47,182,30.33,1,48,47,4,2,0
416,2014-01-01,2014,1,1,2,0,12,16,18,35,36,43,17,160,26.67,12,43,31,2,4,0
417,2014-01-04,2014,1,4,5,1,13,20,22,24,46,48,35,173,28.83,13,48,35,1,5,0
418,2014-01-08,2014,1,8,2,0,3,14,22,29,48,49,18,165,27.5,3,49,46,3,3,1
419,2014-01-11,2014,1,11,5,1,4,14,26,34,39,49,10,166,27.67,4,49,45,2,4,1
420,2014-01-15,2014,1,15,2,0,3,13,19,27,28,38,25,128,21.33,3,38,35,4,2,0
421,2014-01-18,2014,1,18,5,1,13,19,28,29,37,39,25,165,27.5,13,39,26,5,1,0
422,2014-01-22,2014,1,22,2,0,1,2,18,28,33,48,43,130,21.67,1,48,47,2,4,0
423,2014-01-25,2014,1,25,5,1,7,14,27,29,36,48,23,161,26.83,7,48,41,3,3,0
424,2014-01-29,2014,1,29,2,0,2,13,15,36,40,43,23,149,24.83,2,43,41,3,3,0
425,2014-02-01,2014,2,1,5,1,7,39,42,43,44,47,13,222,37.0,7,47,40,4,2,0
426,2014-02-05,2014,2,5,2,0,2,18,24,25,37,38,28,144,24.0,2,38,36,2,4,1
427,2014-02-08,2014,2,8,5,1,8,16,32,34,38,42,11,170,28.33,8,42,34,0,6,0
428,2014-02-12,2014,2,12,2,0,6,11,23,28,45,47,33,160,26.67,6,47,41,4,2,0
429,2014-02-15,2014,2,15,5,1,3,16,32,33,44,48,43,176,29.33,3,48,45,2,4,0
430,2014-02-19,2014,2,19,2,0,1,2,23,28,37,41,10,132,22.0,1,41,40,4,2,1
431,2014-02-22,2014,2,22,5,1,2,3,9,15,18,31,25,78,13.0,2,31,29,4,2,0
432,2014-02-26,2014,2,26,2,0,7,18,34,39,41,42,23,181,30.17,7,42,35,3,3,0
