day,date,year,month,day_of_month,day_of_week,is_weekend,ball_1,ball_2,ball_3,ball_4,ball_5,powerball,sum_main_balls,mean_main_balls,min_main_ball,max_main_ball,range_main_balls,odd_count,even_count,is_powerball_even
813,,2023,,,,0,2,3,25,40,48,7,118,23.6,2,48,46,2,3,0
814,,2023,,,,0,21,23,24,39,43,1,150,30.0,21,43,22,4,1,0
815,,2023,,,,0,12,30,42,43,46,19,173,34.6,12,46,34,1,4,0
816,,2023,,,,0,12,15,35,45,48,16,155,31.0,12,48,36,3,2,1
817,,2023,,,,0,1,6,21,35,47,17,110,22.0,1,47,46,4,1,0
818,,2023,,,,0,15,18,19,42,49,17,143,28.6,15,49,34,3,2,0
819,,2023,,,,0,8,34,44,48,49,14,183,36.6,8,49,41,1,4,1
820,,2023,,,,0,25,27,29,30,39,15,150,30.0,25,39,14,4,1,0
821,,2023,,,,0,3,12,19,42,48,4,124,24.8,3,48,45,2,3,1
822,,2023,,,,0,1,22,23,31,32,3,109,21.8,1,32,31,3,2,0
823,,2023,,,,0,2,3,18,33,34,15,90,18.0,2,34,32,2,3,0
824,,2023,,,,0,1,6,15,19,46,20,87,17.4,1,46,45,3,2,1
825,,2023,,,,0,11,19,21,32,47,9,130,26.0,11,47,36,4,1,0
826,,2023,,,,0,8,17,24,38,46,18,133,26.6,8,46,38,1,4,1
827,,2023,,,,0,8,11,19,30,50,15,118,23.6,8,50,42,2,3,0
828,,2023,,,,0,3,24,26,38,48,10,139,27.8,3,48,45,1,4,1
829,,2023,,,,0,4,6,14,22,47,5,93,18.6,4,47,43,1,4,0
830,,2023,,,,0,4,6,20,21,46,12,97,19.4,4,46,42,1,4,1
831,,2023,,,,0,6,17,25,30,39,11,117,23.4,6,39,33,3,2,0
832,,2023,,,,0,1,11,12,13,34,16,71,14.2,1,34,33,3,2,1
833,,2023,,,,0,17,20,23,24,31,11,115,23.0,17,31,14,3,2,0
834,,2023,,,,0,6,17,33,34,49,7,139,27.8,6,49,43,3,2,0
835,,2023,,,,0,19,22,36,43,46,5,166,33.2,19,46,27,2,3,0
836,,2023,,,,0,5,10,25,29,46,15,115,23.0,5,46,41,3,2,0
837,,2023,,,,0,6,15,31,41,43,8,136,27.2,6,43,37,4,1,1
838,,2023,,,,0,4,18,26,41,47,9,136,27.2,4,47,43,2,3,0
839,,2023,,,,0,8,16,21,24,50,1,119,23.8,8,50,42,1,4,0
840,,2023,,,,0,13,19,24,39,45,16,140,28.0,13,45,32,4,1,1
841,,2023,,,,0,15,16,30,36,40,6,137,27.4,15,40,25,1,4,1
842,,2024,,,,0,8,9,11,29,44,20,101,20.2,8,44,36,3,2,1
843,,2024,,,,0,3,6,18,26,32,15,85,17.0,3,32,29,1,4,0
844,,2024,,,,0,15,17,25,34,42,1,133,26.6,15,42,27,3,2,0
845,,2024,,,,0,4,21,24,29,39,18,117,23.4,4,39,35,3,2,1
846,,2024,,,,0,21,25,37,46,48,17,177,35.4,21,48,27,3,2,0
847,,2024,,,,0,6,7,16,41,46,14,116,23.2,6,46,40,2,3,1
848,,2024,,,,0,12,20,25,48,49,20,154,30.8,12,49,37,2,3,1
849,,2024,,,,0,8,14,15,38,50,11,125,25.0,8,50,42,1,4,0
850,,2024,,,,0,4,11,39,42,43,16,139,27.8,4,43,39,3,2,1
851,,2024,,,,0,8,28,44,46,49,5,175,35.0,8,49,41,1,4,0
852,,2024,,,,0,2,21,39,42,43,11,147,29.4,2,43,41,3,2,0
853,,2024,,,,0,10,19,21,26,32,8,108,21.6,10,32,22,2,3,1
