day,date,year,month,day_of_month,day_of_week,is_weekend,ball_1,ball_2,ball_3,ball_4,ball_5,powerball,sum_main_balls,mean_main_balls,min_main_ball,max_main_ball,range_main_balls,odd_count,even_count,is_powerball_even
572,2015-05-12,2015,5,12,1,0,18,21,24,28,41,15,132,26.4,18,41,23,2,3,0
573,2015-05-15,2015,5,15,4,0,8,26,40,44,45,7,163,32.6,8,45,37,1,4,0
574,2015-05-19,2015,5,19,1,0,3,21,25,26,36,1,111,22.2,3,36,33,3,2,0
575,2015-05-22,2015,5,22,4,0,9,31,32,40,41,10,153,30.6,9,41,32,3,2,1
576,2015-05-26,2015,5,26,1,0,12,13,20,31,36,19,112,22.4,12,36,24,2,3,0
577,2015-05-29,2015,5,29,4,0,4,12,17,25,29,5,87,17.4,4,29,25,3,2,0
578,2015-06-02,2015,6,2,1,0,6,8,11,19,22,17,66,13.2,6,22,16,2,3,0
579,2015-06-05,2015,6,5,4,0,5,9,21,25,35,4,95,19.0,5,35,30,5,0,1
580,2015-06-09,2015,6,9,1,0,2,8,16,18,30,12,74,14.8,2,30,28,0,5,1
581,2015-06-12,2015,6,12,4,0,21,26,28,30,44,10,149,29.8,21,44,23,1,4,1
582,2015-06-16,2015,6,16,1,0,10,13,15,22,30,1,90,18.0,10,30,20,2,3,0
583,2015-06-19,2015,6,19,4,0,1,22,29,34,35,15,121,24.2,1,35,34,3,2,0
584,2015-06-23,2015,6,23,1,0,4,11,19,24,42,6,100,20.0,4,42,38,2,3,1
585,2015-06-26,2015,6,26,4,0,11,12,24,27,32,20,106,21.2,11,32,21,2,3,1
586,2015-06-30,2015,6,30,1,0,12,15,25,39,44,19,135,27.0,12,44,32,3,2,0
